SL_NO,Brand,Model,Announced,Audio_jack,Battery,Bluetooth,CPU,Chipset,Colors,Dimensions,Display_type,GPU,Internal_memory,Loud_speaker,Memory_card,Network,Operating_System,Primary_camera,RAM,Radio,SIM,Secondary_camera,Sensors,Status,USB
434,Motorola,W218,2007 March,No,Removable Li-Ion 850 mAh battery,No,(undefined),(undefined),(undefined),109 x 45 x 15 mm (4.29 x 1.77 x 0.59 in),TFT 65K colors,(undefined),500 KB,Yes,No,GSM,(undefined),VGA,(undefined),Stereo FM radio,Mini-SIM,No,(undefined),Discontinued,No
435,Motorola,Moto E Dual SIM,2014 May,Yes,Non-removable Li-Ion 1980 mAh battery,4.0| LE,Dual-core 1.2 GHz Cortex-A7,Qualcomm Snapdragon 200,Black| White,124.8 x 64.8 x 12.3 mm (4.91 x 2.55 x 0.48 in),Capacitive touchscreen 16M colors,Adreno 302,4 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 4.4.2 (KitKat)| upgradable to 5.1 (Lollipop),5 MP| f/2.4,1 GB RAM,FM radio| RDS,Dual SIM (Micro-SIM| dual stand-by),No,Accelerometer| proximity,Available. Released 2014 May,microUSB 2.0
436,Motorola,C289,2003 1Q,No,Removable Li-Ion 540 mAh battery,No,(undefined),(undefined),Black| White,105 x 41 x 18 mm| 79 cc (4.13 x 1.61 x 0.71 in),Monochrome graphic,(undefined),(undefined),No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
437,Motorola,RIZR Z8,2007 February,No,Removable Li-Ion 1030 mAh battery (BK70),2.0| A2DP,300 MHz ARM 1136,TI OMAP 2420,Black,109 x 50 x 15 mm| 77 cc (4.29 x 1.97 x 0.59 in),TFT 16M colors,PowerVR MBX,77 MB,Yes,microSD (dedicated slot),GSM / HSPA,Symbian 9.2| UIQ 3.1,2 MP| LED flash,(undefined),No,Mini-SIM,VGA videocall camera,(undefined),Discontinued,miniUSB 2.0
438,Motorola,Cliq 2,2011 January,Yes,Removable Li-Ion 1420 mAh battery,2.1| A2DP| EDR,1.0 GHz,(undefined),Black,116 x 59.6 x 14.5 mm (4.57 x 2.35 x 0.57 in),TFT capacitive touchscreen 256K colors,(undefined),1 GB,Yes with stereo speakers,microSD up to 32 GB (dedicated slot) 2 GB included,GSM / HSPA,Android 2.3 (Gingerbread)| not upgradable to 4.1 (Jelly Bean),5 MP| autofocus| dual-LED flash,512 MB RAM,Stereo FM radio| RDS,Mini-SIM,No,Accelerometer| proximity| compass,Available. Released 2011 March,microUSB 2.0
439,Motorola,V303,2003 3Q,No,Removable Li-Ion 780 mAh battery (77639),No,(undefined),(undefined),Blue,89 x 49 x 25.3 mm (3.50 x 1.93 x 1.00 in),TFT 65K colors,(undefined),5 MB,Yes,No,GSM,(undefined),VGA,(undefined),No,Mini-SIM,No,(undefined),Discontinued,Yes
440,Motorola,Moto X Play,2015 July,Yes,Non-removable 3630 mAh battery,4.0| A2DP| LE,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Black| White,148 x 75 x 10.9 mm (5.83 x 2.95 x 0.43 in),IPS LCD capacitive touchscreen 16M colors,Adreno 405,16/32 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 5.1.1 (Lollipop)| upgradable to 7.1.1 (Nougat),21 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash|,2 GB RAM,FM radio,Nano-SIM,5 MP| f/2.2,Accelerometer| proximity,Available. Released 2015 August,microUSB 2.0
441,Motorola,E390,2003 4Q,No,Removable Li-Ion battery,Yes,(undefined),(undefined),(undefined),107 x 46 x 22 mm| 100 cc (4.21 x 1.81 x 0.87 in),TFT 65K colors,(undefined),(undefined),No,No,GSM,(undefined),VGA,(undefined),No,Mini-SIM,No,(undefined),Cancelled,(undefined)
442,Motorola,MOTOKEY 3-CHIP EX117,2012 May,Yes,Removable Li-Ion 750 mAh battery,2.1| A2DP| EDR,(undefined),(undefined),Brown| White,102 x 59 x 12.8 mm (4.02 x 2.32 x 0.50 in),TFT 256K colors,(undefined),50 MB,Yes,microSD up to 32 GB (dedicated slot) 2 GB included,GSM,(undefined),2 MP,64 MB RAM,Stereo FM radio,Triple SIM (Mini-SIM),No,(undefined),Available. Released 2012 June,Yes
443,Motorola,A6188,2000,No,Removable Li-Ion 500 mAh battery,No,(undefined),(undefined),3,98 x 60 x 29 mm (3.86 x 2.36 x 1.14 in),Monochrome resistive touchscreen,(undefined),(undefined),No,No,GSM,(undefined),(undefined),(undefined),Stereo FM radio| RDS,Dual (Mini-SIM),(undefined),(undefined),Discontinued,(undefined)
444,Motorola,EX122,2010 October. Released 2010 October,Yes,Removable Li-Ion 910 mAh battery,2.1| A2DP,(undefined),(undefined),Black,107 x 57 x 12.8 mm (4.21 x 2.24 x 0.50 in),TFT resistive touchscreen 256K colors,(undefined),128 MB ROM,Yes,microSD (dedicated slot),GSM,(undefined),3.15 MP,64 MB RAM,Stereo FM radio| RDS,Mini-SIM,No,(undefined),Discontinued,microUSB 2.0
445,Motorola,SLVR L7,2005 1Q,No,Removable Li-Ion 820 mAh battery,1.2,(undefined),(undefined),Black| Silver| Pink,113 x 49 x 11.5 mm| 59 cc (4.45 x 1.93 x 0.45 in),TFT 256K colors,(undefined),11 MB,Yes,microSD up to 1 GB (dedicated slot),GSM,(undefined),VGA,(undefined),No,Mini-SIM,No,(undefined),Discontinued,miniUSB
446,Motorola,DROID Ultra,2013 July,Yes,Non-removable Li-Ion 2130 mAh battery,4.0| A2DP| EDR| LE,Dual-core 1.7 GHz Krait,Qualcomm Snapdragon S4Pro,Black| Red| White,137.5 x 71.2 x 7.2 mm (5.41 x 2.80 x 0.28 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 320,16 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,Android 4.2.2 (Jelly Bean)| upgradable to 4.4.4 (KitKat)| planned upgrade to 5.0 (Lollipop),10 MP| autofocus| LED flash,2 GB RAM,No,Nano-SIM,2 MP,Accelerometer| gyro| proximity| compass| barometer,Available. Released 2013 August,microUSB 2.0
447,Motorola,W270,2008 January. Released 2008,No,Removable Li-Ion 940 mAh battery (BQ50),No,(undefined),(undefined),lustrous silver| dark titanium gray,95 x 45 x 17 mm (3.74 x 1.77 x 0.67 in),CSTN 65K colors,(undefined),(undefined),Yes,microSD up to 2 GB (dedicated slot),GSM,(undefined),(undefined),(undefined),Stereo FM radio| RDS| recording,Mini-SIM,(undefined),(undefined),Discontinued,1.1
448,Motorola,XPRT MB612,2011 May,Yes,Removable Li-Ion 1860 mAh battery,2.1| A2DP,1.0 GHz Cortex-A8,TI OMAP 3620 - 1000,Black,120.4 x 60.9 x 13 mm (4.74 x 2.40 x 0.51 in),TFT capacitive touchscreen 16M colors,PowerVR SGX530,2 GB,Yes,microSD up to 32 GB (dedicated slot) 2 GB included,GSM / CDMA / HSPA / EVDO,Android 2.2 (Froyo)| not upgradable to 4.1 (Jelly Bean),5 MP| autofocus| LED flash,(undefined),(undefined),Mini-SIM,No,Accelerometer| proximity| compass,Available. Released 2011 June,microUSB 2.0
449,Motorola,ROKR W6,2009 April. Released 2009 May,No,Removable Li-Ion 880 mAh battery,2.0| A2DP,(undefined),(undefined),(undefined),99 x 46 x 17.5 mm (3.90 x 1.81 x 0.69 in),TFT 256K colors,(undefined),20 MB,Yes,microSD up to 2 GB (dedicated slot),GSM,(undefined),1.3 MP,(undefined),No,Mini-SIM,No,(undefined),Discontinued,miniUSB
450,Motorola,C450,2003 4Q,No,Removable Li-Ion 600 mAh battery,No,(undefined),(undefined),Light Blue| Dark Pearl Grey,98 x 43 x 17 mm| 78 cc (3.86 x 1.69 x 0.67 in),CSTN 4096 colors,(undefined),1 MB,No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,Yes
451,Motorola,Moto C,2017 May,Yes,Removable Li-Po 2350 mAh battery,4.2| A2DP| LE,Quad-core 1.1 GHz Cortex-A53,Mediatek MT6737M,Metallic Cherry| Pearl White| Fine Gold| Starry Black,145.5 x 73.6 x 9 mm (5.73 x 2.90 x 0.35 in),TFT capacitive touchscreen 16M colors,Mali-T720MP2,8 GB,Yes,microSD up to 32 GB,GSM / HSPA / LTE,Android 7.0 (Nougat),5 MP| LED flash,1 GB RAM - 3G model,FM radio,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),2 MP| LED flash,Accelerometer,Available. Released 2017 June,microUSB 2.0
452,Motorola,A388c,2003 2Q,No,Removable Li-Ion battery,No,DragonBall Vz 66 MHz,(undefined),silver| black,98 x 58 x 24 mm (3.86 x 2.28 x 0.94 in),TFT resistive touchscreen 65K colors,(undefined),7 MB,No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,Yes
453,Motorola,RAZR maxx V6,2006 July,No,Removable Li-Ion 940 mAh battery,2.0| A2DP,(undefined),(undefined),Black,104 x 53 x 15 mm (4.09 x 2.09 x 0.59 in),TFT 256K colors,(undefined),50 MB,Yes,microSD up to 2 GB (dedicated slot),GSM / HSPA,(undefined),2 MP| LED flash,(undefined),No,Mini-SIM,VGA videocall camera,(undefined),Discontinued,2
454,Motorola,A830,2003,No,Removable Li-Po 800 mAh battery (77553),1.1,(undefined),(undefined),(undefined),135 x 53 x 24 mm| 134 cc (5.31 x 2.09 x 0.94 in),TFT 4096 colors,(undefined),2 MB,Yes,MMC/SD 32 MB SD included,GSM / UMTS,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
455,Motorola,W380,2007 March. Released 2008,No,Removable Li-Ion 850 mAh battery,No,(undefined),(undefined),(undefined),99 x 45 x 18.2 mm (3.90 x 1.77 x 0.72 in),TFT 65K colors,(undefined),7 MB,Yes,No,GSM,(undefined),VGA,(undefined),FM radio,Mini-SIM,No,(undefined),Discontinued,2
456,Motorola,V360,2005 1Q,No,Removable Li-Ion 810 mAh battery,1.2,(undefined),(undefined),Silver,90 x 47 x 24 mm (3.54 x 1.85 x 0.94 in),TFT 256K colors,(undefined),5 MB,Yes,microSD up to 512 MB (dedicated slot),GSM,(undefined),VGA,(undefined),No,Mini-SIM,No,(undefined),Discontinued,miniUSB
457,Motorola,C336,2002,No,Removable Li-Ion 600 mAh battery,No,(undefined),(undefined),(undefined),102 x 46 x 19 mm| 73 cc (4.02 x 1.81 x 0.75 in),Grayscale graphic,(undefined),(undefined),No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
458,Motorola,Quench XT5 XT502,2010 July. Released 2010 August,Yes,Removable Li-Po 1270 mAh battery,2.0| A2DP| EDR,600 MHz ARM 11,Qualcomm MSM7227 Snapdragon S1,Brown,114.9 x 56.8 x 12.6 mm| 80 cc (4.52 x 2.24 x 0.50 in),TFT capacitive touchscreen 256K colors,Adreno 200,512 MB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 2.1 (Eclair),5 MP| LED flash,256 MB RAM,No,Mini-SIM,No,Accelerometer| proximity| compass,Discontinued,microUSB 2.0
459,Motorola,Moto E4 Plus,2017 June,Yes,Non-removable Li-Ion 5000 mAh battery,4.2| A2DP| LE,Quad-core 1.3 GHz Cortex-A53,Mediatek MT6737,Iron Gray| Fine Gold| Oxford Blue,155 x 77.5 x 9.6 mm (6.10 x 3.05 x 0.38 in),IPS LCD capacitive touchscreen 16M colors,Mali-T720,16 GB,Yes,microSD up to 128 GB,GSM / HSPA / LTE,Android 7.1.1 (Nougat),13 MP| f/2.0| autofocus| LED flash,3 GB RAM,FM radio,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),5 MP| f/2.2| 1.4 �m pixel size| LED flash,Accelerometer| proximity,Available. Released 2017 June,microUSB 2.0
460,Motorola,Motoluxe,2012 January,Yes,Removable Li-Ion 1400 mAh battery,3.0| A2DP| EDR,800 MHz Cortex-A5,Qualcomm MSM7227A-0 Snapdragon S1,Licorice| white,117.7 x 60.5 x 9.9 mm (4.63 x 2.38 x 0.39 in),TFT capacitive touchscreen,Adreno 200,1 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 2.3.7 (Gingerbread),8 MP| autofocus| LED flash,512 MB RAM,Stereo FM radio| RDS,Mini-SIM,VGA,Accelerometer| proximity| compass,Available. Released 2012 March,microUSB 2.0
461,Motorola,A760,2003,No,Removable Li-Ion 750 mAh battery (77642),1.1,206 MHz,(undefined),Coral grey,100 x 53 x 21 mm| 100 cc (3.94 x 2.09 x 0.83 in),TFT resistive touchscreen 65K colors,(undefined),32 MB,Yes,No,GSM,Linux,CIF,(undefined),No,Mini-SIM,No,(undefined),Discontinued,Yes
462,Motorola,PRO+,2011 August,Yes,Removable Li-Ion 1600 mAh battery,2.1| A2DP| EDR,1.0 GHz,(undefined),Black,119.5 x 62 x 11.7 mm (4.70 x 2.44 x 0.46 in),TFT capacitive touchscreen 16M colors,(undefined),4 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 2.3 (Gingerbread),5 MP| autofocus| dual-LED flash,512 MB RAM,Stereo FM radio| RDS,Mini-SIM,No,Accelerometer| proximity| compass,Available. Released 2011 November,microUSB 2.0
463,Motorola,DROID X2,2011 May,Yes,Removable Li-Ion 1540 mAh battery,2.1| A2DP,Dual-core 1.0 GHz Cortex-A9,Nvidia Tegra 2 AP20H,Black,127.5 x 65.5 x 9.9 mm (5.02 x 2.58 x 0.39 in),TFT capacitive touchscreen 16M colors,ULP GeForce,8 GB,Yes,microSD up to 32 GB (dedicated slot) 8 GB included,CDMA / EVDO,Android 2.3 (Gingerbread)| not upgradable to 4.1 (Jelly Bean),8 MP| autofocus| dual-LED flash,512 MB RAM,Stereo FM radio| RDS,Mini-SIM,No,Accelerometer| proximity| compass,Available. Released 2011 May,microUSB 2.0
464,Motorola,WX295,2010 April. Released 2010 July,No,Removable Li-Ion 750 mAh battery,2,(undefined),(undefined),Black,96 x 46.5 x 16.7 mm (3.78 x 1.83 x 0.66 in),TFT 65K colors,(undefined),(undefined),Yes,microSD up to 2 GB (dedicated slot),GSM,(undefined),VGA,(undefined),Stereo FM radio| RDS,Mini-SIM,No,(undefined),Discontinued,No
465,Motorola,V1100,2007 March,No,Removable Li-Ion 1130 mAh battery,Yes,(undefined),(undefined),Black,100 x 48 x 18.9 mm| 79.9 cc (3.94 x 1.89 x 0.74 in),TFT 256K colors,(undefined),64 MB,Yes,No,GSM / UMTS,(undefined),1.3 MP,(undefined),No,Mini-SIM,Videocall camera,(undefined),Discontinued,miniUSB
466,Motorola,SlimLite,1997,No,Removable Li-Ion 900 mAh battery,No,(undefined),(undefined),(undefined),143 x 57 x 16 mm (5.63 x 2.24 x 0.63 in),Monochrome graphic,(undefined),(undefined),No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
467,Motorola,Triumph,2011 June. Released 2011 July,Yes,Removable Li-Ion 1400 mAh battery,2.1| A2DP,1.0 GHz Scorpion,Qualcomm MSM8655 Snapdragon S2,Black,121.9 x 63.5 x 10.2 mm (4.80 x 2.5 x 0.40 in),TFT capacitive touchscreen 16M colors,Adreno 205,2 GB,Yes,microSD up to 32 GB (dedicated slot),CDMA / EVDO,Android 2.2 (Froyo),5 MP| autofocus| LED flash,512 MB RAM,No,Mini-SIM,VGA,Accelerometer| proximity| compass,Discontinued,microUSB 2.0
468,Motorola,C257,2005 3Q,No,Removable Li-Ion 820 mAh battery,No,(undefined),(undefined),Black,109.9 x 49.9 x 14.9 mm| 74 cc (4.33 x 1.96 x 0.59 in),TFT 65K colors,(undefined),1 MB,Yes,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
469,Motorola,CITRUS WX445,2010 October. Released 2010 November,Yes,Removable Li-Ion 1150 mAh battery,2.1| A2DP,528 MHz ARM 11,Qualcomm MSM7625,Black,104 x 59 x 15 mm| 92 cc (4.09 x 2.32 x 0.59 in),TFT capacitive touchscreen 16M colors,Adreno 200,512 MB,Yes with stereo speakers,microSD up to 32 GB (dedicated slot) 2 GB included,CDMA / EVDO,Android 2.1 (Eclair),3.15 MP,256 MB RAM,No,Mini-SIM,No,Accelerometer| proximity| compass,Discontinued,microUSB 2.0
470,Motorola,C205,2004 1Q,No,Removable Li-Ion 700 mAh battery (BA240),No,(undefined),(undefined),Silver with colour lenses,105 x 44 x 20 mm| 70 cc (4.13 x 1.73 x 0.79 in),Monochrome graphic,(undefined),(undefined),No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
471,Motorola,ATRIX 4G,2011 January,Yes,Removable Li-Po 1930 mAh battery,2.1| A2DP| EDR,Dual-core 1.0 GHz Cortex-A9,Nvidia Tegra 2 AP20H,Black,117.8 x 63.5 x 11 mm (4.64 x 2.5 x 0.43 in),TFT capacitive touchscreen 16M colors,ULP GeForce,16 GB,Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA,Android 2.3 (Gingerbread)| not upgradable to 4.1 (Jelly Bean),5 MP| autofocus| LED flash|,1 GB RAM,No,Mini-SIM,VGA,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Available. Released 2011 February,microUSB 2.0
472,Motorola,DROID X ME811,2011 January,Yes,Removable Li-Po 1540 mAh battery,2.1| A2DP| EDR,1.2 GHz Cortex-A8,TI OMAP3630 - 1200,Black,127.5 x 65.5 x 9.9 mm (5.02 x 2.58 x 0.39 in),TFT capacitive touchscreen 16M colors,PowerVR SGX530,1 GB,Yes,microSD up to 32 GB (dedicated slot),CDMA / EVDO,Android 2.2 (Froyo),8 MP| autofocus| dual-LED flash,512 MB RAM,Stereo FM radio| RDS,Mini-SIM,No,Accelerometer| proximity| compass,Available. Released 2011 January,microUSB 2.0
473,Motorola,RAZR M XT905,2012 September,Yes,Non-removable Li-Ion 2000 mAh battery,4.0| A2DP| EDR| LE,Dual-core 1.5 GHz Krait,Qualcomm MSM8960 Snapdragon S4 Plus,Black| White,122.5 x 60.9 x 8.3 mm (4.82 x 2.40 x 0.33 in),Super AMOLED Advanced capacitive touchscreen 16M colors,Adreno 225,8 GB (4.5 GB user available),Yes,microSD up to 32 GB (dedicated slot),GSM / HSPA / LTE,Android 4.0.4 (Ice Cream Sandwich)| upgradable to 4.1 (Jelly Bean),8 MP| autofocus| LED flash,1 GB RAM,No,Micro-SIM,VGA,Accelerometer| proximity| compass,Available. Released 2013 January,microUSB 2.0
474,Motorola,EM28,2008 August. Released 2009 February,Yes,Removable Li-Ion 940 mAh battery,2.0| A2DP,(undefined),(undefined),Blue,94 x 49.5 x 17 mm (3.70 x 1.95 x 0.67 in),TFT 65K colors,(undefined),(undefined),Yes,microSD up to 2 GB (dedicated slot),GSM,(undefined),1.3 MP,(undefined),Stereo FM radio| RDS,Mini-SIM,No,(undefined),Discontinued,Yes
475,Motorola,VE66,2008 November. Released 2009 February,No,Removable Li-Ion 810 mAh battery,2.0| A2DP,500 MHz Freescale MXC275-30,(undefined),(undefined),103 x 49.5 x 15.2 mm| 68 cc (4.06 x 1.95 x 0.60 in),TFT 256K colors,(undefined),110 MB,Yes,microSD (dedicated slot),GSM,Linux / Java-based MOTOMAGX,5 MP| autofocus| LED flash,256 MB ROM,Stereo FM radio| RDS,Mini-SIM,No,(undefined),Discontinued,microUSB 2.0
476,Motorola,C123,2006 3Q,No,Removable Li-Ion 920 mAh battery,No,(undefined),(undefined),Silver,101 x 45 x 21 mm| 74 cc (3.98 x 1.77 x 0.83 in),Monochrome graphic,(undefined),(undefined),No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,No
477,Motorola,U9,2007 October. Released 2008 February,No,Removable Li-Ion battery,2.0| A2DP,(undefined),(undefined),Pink| Purple,90 x 48.6 x 16.4 mm| 57 cc (3.54 x 1.91 x 0.65 in),TFT 256K colors,(undefined),25 MB,No,microSD (dedicated slot),GSM,Linux / Java-based MOTOMAGX,2 MP,(undefined),No,Mini-SIM,No,(undefined),Discontinued,2
478,Motorola,V3688,1998,No,Removable Li-Ion 600 mAh battery,No,(undefined),(undefined),3,83 x 44 x 25 mm (3.27 x 1.73 x 0.98 in),Monochrome graphic Optimax,(undefined),(undefined),No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
479,Motorola,MOTOTV EX245,2010 October. Released 2010 October,Yes,Removable Li-Ion 910 mAh battery,2.1| A2DP,(undefined),(undefined),Black,108 x 58 x 12 mm (4.25 x 2.28 x 0.47 in),TFT resistive touchscreen 65K colors,(undefined),(undefined),Yes,microSD up to 8 GB (dedicated slot),GSM,(undefined),3.15 MP,(undefined),Stereo FM radio| RDS,Mini-SIM,No,(undefined),Discontinued,microUSB 2.0
480,Motorola,WX306,2011 December,Yes,Removable Li-Ion 910 mAh battery,2.1| A2DP,(undefined),(undefined),Black,107 x 52.5 x 13.5 mm (4.21 x 2.07 x 0.53 in),TFT 256K colors,(undefined),50 MB,Yes,microSD (dedicated slot),GSM,(undefined),2 MP,(undefined),FM radio| recording,Mini-SIM,No,(undefined),Available. Released 2011 December,miniUSB
481,Motorola,MOTOKEY Mini EX109,2011 August,Yes,Removable Li-Ion 750 mAh battery,2.1| A2DP| EDR,(undefined),(undefined),Brown,102 x 59.5 x 12.8 mm (4.02 x 2.34 x 0.50 in),TFT,(undefined),50 MB,Yes,microSD up to 32 GB (dedicated slot) 2 GB included,GSM,(undefined),2 MP,(undefined),Stereo FM radio,Dual SIM (Mini-SIM| dual stand-by),No,(undefined),Available. Released 2011 August,microUSB 2.0
482,Motorola,Moto Z2 Play,2017 June,Yes,Non-removable Li-Ion 3000 mAh battery,4.2| A2DP| LE,Octa-core 2.2 GHz Cortex-A53,Qualcomm MSM8953-Pro Snapdragon 626,Lunar Gray| Fine Gold| Nimbus Blue,156.2 x 76.2 x 6 mm (6.15 x 3.00 x 0.24 in),Super AMOLED capacitive touchscreen 16M colors,Adreno 506,32 GB,Yes,microSD up to 256 GB (dedicated slot),GSM / HSPA / LTE,Android 7.1.1 (Nougat),12 MP| f/1.7| phase detection and laser autofocus| dual-LED (dual tone) flash,3 GB RAM or 64 GB| 4 GB RAM,FM radio,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),5 MP| f/2.0| 1.4 �m pixel size| dual-LED (dual tone) flash| 1080p,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2017 June,3.1| Type-C 1.0 reversible connector| magnetic connector| USB On-The-Go
483,Motorola,C300,42614,No,Removable Li-Ion 600 mAh battery (77596),No,(undefined),(undefined),(undefined),106 x 44 x 16 mm (4.17 x 1.73 x 0.63 in),Monochrome graphic,(undefined),128 KB,No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
484,Motorola,A768i,2004 1Q,No,Removable Li-Ion 780 mAh battery (77639),1.1,206 MHz,(undefined),Mr. black,100 x 53 x 21 mm| 100 cc (3.94 x 2.09 x 0.83 in),TFT resistive touchscreen 65K colors,(undefined),96 MB,No,No,GSM,Linux,CIF,(undefined),No,Mini-SIM,No,(undefined),Discontinued,Yes
485,Motorola,T180,2000,No,Removable NiMH 700 mAh battery,No,(undefined),(undefined),4 - volt blue| lavender| kingfisher and ash black,130 x 47 x 27 mm (5.12 x 1.85 x 1.06 in),Alphanumeric,(undefined),(undefined),No,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,(undefined)
486,Motorola,C380/C385,2004 1Q,No,Removable Li-Ion 800 mAh battery (BX200),No,(undefined),(undefined),Cosmic Universe Blue| Shadow Anthracite,107 x 44 x 20.9 mm| 80 cc (4.21 x 1.73 x 0.82 in),CSTN 65K colors,(undefined),1.8 MB,Yes,No,GSM,(undefined),(undefined),(undefined),No,Mini-SIM,(undefined),(undefined),Discontinued,Yes
487,Motorola,Q 9h,2007 February,No,Removable Li-Ion 1170 mAh battery,2.0| A2DP,325 MHz,(undefined),Silver| Black,118 x 67 x 11.8 mm| 85 cc (4.65 x 2.64 x 0.46 in),TFT 65k colors,(undefined),256 MB ROM,Yes with stereo speakers,microSD up to 8 GB (dedicated slot),GSM / HSPA,Microsoft Windows Mobile 6.0 Standard,2 MP| LED flash,96 MB RAM,No,Mini-SIM,No,(undefined),Discontinued,microUSB 2.0
488,Motorola,V300,2003 3Q,No,Removable Li-Ion 700 mAh battery (BLS8470),No,(undefined),(undefined),Blue,89 x 49 x 24.8 mm| 86 cc (3.50 x 1.93 x 0.98 in),TFT 65K colors,(undefined),5 MB,Yes,No,GSM,(undefined),VGA,(undefined),No,Mini-SIM,No,(undefined),Discontinued,Yes
489,Motorola,V500,2003 3Q,No,Removable Li-Ion 650 mAh battery (SNN5704),1.1,(undefined),(undefined),Silver,89 x 49 x 24.8 mm| 86 cc (3.50 x 1.93 x 0.98 in),TFT 65K colors,(undefined),5 MB,Yes,No,GSM,(undefined),VGA,(undefined),No,Mini-SIM,No,(undefined),Discontinued,Yes
490,Motorola,EX115,2010 September. Released 2010 September,Yes,Removable Li-Ion 930 mAh battery,2.1| A2DP,(undefined),(undefined),Smoke Gray| Ultra White,109 x 61 x 12.4 mm (4.29 x 2.40 x 0.49 in),TFT 65K colors,(undefined),50 MB,Yes,microSD up to 32 GB (dedicated slot),GSM,(undefined),3.15 MP,(undefined),Stereo FM radio| RDS,Dual SIM (Mini-SIM| dual stand-by),No,(undefined),Discontinued,microUSB 2.0
491,Motorola,Nexus 6,2014 October,Yes,Non-removable Li-Po 3220 mAh battery,4.1| A2DP| LE,Quad-core 2.7 GHz Krait 450,Qualcomm Snapdragon 805,Midnight Blue| Cloud White,159.3 x 83 x 10.1 mm (6.27 x 3.27 x 0.40 in),AMOLED capacitive touchscreen 16M colors,Adreno 420,32/64 GB,Yes with stereo speakers,No,GSM / CDMA / HSPA / LTE,Android 5.0 (Lollipop)| upgradable to 7.1.1 (Nougat),13 MP| f/2.0| 28mm| autofocus| OIS| dual-LED (ring) flash|,3 GB RAM,No,Nano-SIM,"2 MP| f/2.2| 1/6"" sensor size| 1.4�m pixel size",Accelerometer| gyro| proximity| compass| barometer,Available. Released 2014 November,microUSB 2.0 (SlimPort)| USB Host
492,Motorola,Moto G Dual SIM,2014 January,Yes,Non-removable Li-Ion 2070 mAh battery,4.0| A2DP| LE,Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8226 Snapdragon 400,Black (front panel)| 7 color options (back panel),129.9 x 65.9 x 11.6 mm (5.11 x 2.59 x 0.46 in),IPS LCD capacitive touchscreen 16M colors,Adreno 305,8/16 GB,Yes,No,GSM / HSPA,Android 4.4.2 (KitKat)| upgradable to 5.1.1 (Lollipop),5 MP| f/2.4| autofocus| LED flash,1 GB RAM,FM radio,Dual SIM| (Micro-SIM| dual stand-by),1.3 MP,Accelerometer| proximity| compass,Available. Released 2014 January,microUSB 2.0| USB Host
493,Motorola,C168,2005 3Q,No,Removable Li-Ion 1000 mAh battery,No,(undefined),(undefined),(undefined),104.4 x 46 x 14 mm| 63 cc (4.11 x 1.81 x 0.55 in),CSTN 4096 colors,(undefined),640 KB,No,No,GSM,(undefined),(undefined),(undefined),Stereo FM radio,Mini-SIM,(undefined),(undefined),Discontinued,No
